month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease_source,resale_price,source_file,structural_reasons,structural_fail,remaining_lease_years,remaining_lease_months,remaining_lease,is_price_anomaly,is_area_anomaly,is_anomaly,avg_resale_price_group,Resale Identifier
2012-01,ANG MO KIO,3 ROOM,118,ANG MO KIO AVE 4,01 TO 03,73.0,New Generation,1978,,320000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",,False,65,0,65 years 00 months,False,False,False,348208.02444444445,S1183401A
2012-01,ANG MO KIO,3 ROOM,121,ANG MO KIO AVE 3,10 TO 12,67.0,New Generation,1978,,382800.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",,False,65,0,65 years 00 months,False,False,False,348208.02444444445,S1213401A
2012-01,ANG MO KIO,4 ROOM,126,ANG MO KIO AVE 3,01 TO 03,92.0,New Generation,1978,,452000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",,False,65,0,65 years 00 months,False,False,False,474485.8181818182,S1264701A
2012-01,ANG MO KIO,3 ROOM,151,ANG MO KIO AVE 5,07 TO 09,68.0,New Generation,1981,,302000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",,False,68,0,68 years 00 months,False,False,False,348208.02444444445,S1513401A
2012-01,ANG MO KIO,3 ROOM,154,ANG MO KIO AVE 5,10 TO 12,68.0,New Generation,1981,,321000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",,False,68,0,68 years 00 months,False,False,False,348208.02444444445,S1543401A
2012-01,ANG MO KIO,3 ROOM,157,ANG MO KIO AVE 4,04 TO 06,69.0,New Generation,1980,,297000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",,False,67,0,67 years 00 months,False,False,False,348208.02444444445,S1573401A
2012-01,ANG MO KIO,3 ROOM,163,ANG MO KIO AVE 4,04 TO 06,69.0,New Generation,1980,,340000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",,False,67,0,67 years 00 months,False,False,False,348208.02444444445,S1633401A
2012-01,ANG MO KIO,2 ROOM,170,ANG MO KIO AVE 4,01 TO 03,45.0,Improved,1986,,260000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",,False,73,0,73 years 00 months,False,False,False,263160.0,S1702601A
2012-01,ANG MO KIO,4 ROOM,175,ANG MO KIO AVE 4,01 TO 03,91.0,New Generation,1981,,385000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",,False,68,0,68 years 00 months,False,False,False,474485.8181818182,S1754701A
2012-01,ANG MO KIO,4 ROOM,179,ANG MO KIO AVE 5,10 TO 12,91.0,New Generation,1981,,443000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",,False,68,0,68 years 00 months,False,False,False,474485.8181818182,S1794701A
